"Taxa","Amylose2013","Protein2013","Starch2013","Fat2013","Gross_Energy2013","Amylose2014","Protein2014","Starch2014","Fat2014","Gross_Energy2014","Amylose2017","Protein2017","Starch2017","Fat2017","Gross_Energy2017"
"PI656040",-0.0879011329866392,-0.00752672166581448,-0.0898538075522092,-0.0102026404854295,-7.28061092046995,0.00959437017903663,0.0866839475264227,0.429481545504407,0.00234761269408492,24.2655342637606,-0.100127568747971,-0.0707312384910024,-0.519094050063179,-0.0120253232383988,-30.6676054710279
"PI656041",0.0724686281852538,0.0677444434368639,0.405998655367755,0.00195910167322448,21.0432614848325,0.0367965262885119,0.110072559129164,0.359052640180097,0.016543494271997,22.6836445397281,0.00618920410484304,0.0615548187234688,0.541049130341628,0.00712530243759284,26.7173863945568
"PI656043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0231059768697576,-0.0177669756202016,0.48139957446937,-0.00312818394821098,17.4723969467963
"PI656044",0.0680407526934092,0.0236289794186639,0.352950548311033,0.00247058699510215,18.5422210316065,-0.0271730367645284,-0.00921135838226381,0.0744340305351396,-0.00627887223975455,1.95908744480032,-0.129198729082677,-0.0548053830921653,-0.120738577335747,-0.0124641556280161,-12.3489538054928
"PI656046",-0.0084594112782956,0.0273562689326798,0.038350661366903,0.0166453747460465,5.00525794687898,0.0345376843844185,-0.001469728993513,-0.00996600788103835,0.00235874907950596,-0.321814899578479,-0.0170809673707284,-0.01119031610828,-0.14351945827394,-0.011544753606331,-7.71538522131018
"PI656047",-0.0529760337097816,-0.0231742861041559,0.089448068048427,-0.00563401657897559,0.116741955334794,-0.0670892095276548,-0.00489705300874842,0.180181401122543,0.00116835977301507,6.2515655120132,-0.0089245653961922,-0.0207791341727446,0.0798528241385654,0.00448027188462131,0.447650513554366
"PI656048",-0.0548479340876427,-0.0533796345360226,-0.343381794044791,-0.0193178389551595,-21.4114880452304,-0.00115850606618872,-0.0627790724685865,-0.112139826568059,-0.0110774504226582,-11.0372426571241,-0.0387179113323675,-0.0704547444969097,-0.227810706816852,-0.00854690038932327,-17.9239311747912
"PI656049",0.0760041944269567,0.0346910522426969,0.305638925101486,0.0177026407514252,15.3710376589213,0.0604290255885979,0.0241474447576569,0.114972524293654,0.00322983401759151,5.36101529015456,-0.00706738300255993,0.0159604180250457,-0.144060749956738,-0.0177873359554087,-7.05962436056689
"PI656050",0.0819109052831486,0.0140004486650544,0.23186096219664,0.0019028164082721,10.5239791964461,5.45639172261385e-05,-0.00247976586829751,-0.00658375889942179,0.000527265152831619,-0.622627400315177,-0.0287913682514772,0.0301105103060815,0.17095964706426,0.000216454967136766,8.02983456521886
"PI656051",-0.000661137225147435,-0.0337920330041811,0.0778175607641675,-0.00246038111757468,0.99200821511673,0.0326935890084774,-0.000250041979498672,0.126370766306247,0.0046284648216672,6.58534193373198,-0.0120706914892886,-0.055356363507053,-0.215864131913451,-0.00914573547228564,-14.8381843694465
"PI656052",-0.0772910758028804,-0.0569570792388763,-0.244238655070091,-0.0133020431581316,-15.924188130259,-0.0683414005409491,-0.0616004039600737,-0.263535016694956,-0.00882248286659511,-16.5035012494742,NA,NA,NA,NA,NA
