"Taxa","Year","Rep","r1","r2","r3","r4","r5","r6","Amylose","Fat","Cal.g","Starch","Protein"
"PI641874","2013","1",1,0,0,0,0,0,10.8,1.77,4055,70.5,12.17
"PI642791","2013","1",1,0,0,0,0,0,17.5,2.02,4084,68.6,12.4
"PI642793","2013","1",1,0,0,0,0,0,16,2.58,4105,67.7,13.33
"PI642992","2013","1",1,0,0,0,0,0,18.6,2.71,4103,69.5,11.4
"PI642998","2013","1",1,0,0,0,0,0,15.5,3.98,4201,65.8,13.14
"PI651492","2013","1",1,0,0,0,0,0,14.6,2.15,4076,65.6,11.25
"PI651496","2013","1",1,0,0,0,0,0,19,1.94,4054,66.8,10.71
"PI653616","2013","1",1,0,0,0,0,0,17.7,3.02,4129,66.1,11.53
"PI653617","2013","1",1,0,0,0,0,0,20.5,3.44,4167,67,11.78
"PI655970","2013","1",1,0,0,0,0,0,18.4,3.33,4131,68.6,12.44
"PI655971","2013","1",1,0,0,0,0,0,13.4,2.74,4100,67.6,12.93
"PI655972","2013","1",1,0,0,0,0,0,17.9,3.47,4175,66.7,12.75
"PI655973","2013","1",1,0,0,0,0,0,10.5,2.79,4097,70.2,11.62
"PI655974","2013","1",1,0,0,0,0,0,18.7,2.97,4098,69.6,10.75
"PI655975","2013","1",1,0,0,0,0,0,20.7,2.32,4103,70.2,11.41
"PI655976","2013","1",1,0,0,0,0,0,15.8,2.73,4104,71.6,10.99
"PI655977","2013","1",1,0,0,0,0,0,16.2,2.57,4115,67.1,11.93
"PI655978","2013","1",1,0,0,0,0,0,13.9,2.72,4110,68.2,12.36
"PI655980","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI655981","2013","1",1,0,0,0,0,0,16.8,3.01,4106,67.7,11.73
"PI655982","2013","1",1,0,0,0,0,0,14.6,1.41,4088,61.6,14.77
"PI655983","2013","1",1,0,0,0,0,0,18.4,2.54,4093,69.1,10.1
"PI655984","2013","1",1,0,0,0,0,0,17.6,2.59,4120,67.3,14.24
"PI655985","2013","1",1,0,0,0,0,0,13.7,2.32,4095,68.9,12.59
"PI655986","2013","1",1,0,0,0,0,0,17.4,2.53,4101,69.5,12.17
"PI655987","2013","1",1,0,0,0,0,0,20.3,2.32,4140,68.2,13.95
"PI655988","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI655989","2013","1",1,0,0,0,0,0,18.7,2.67,4112,67.6,12.43
"PI655990","2013","1",1,0,0,0,0,0,14.4,2.17,4033,71.5,10.13
"PI655991","2013","1",1,0,0,0,0,0,18.1,2.62,4075,70.5,10.87
"PI655992","2013","1",1,0,0,0,0,0,16.2,2.48,4036,72.4,9.62
"PI655993","2013","1",1,0,0,0,0,0,18.5,2.43,4095,70.5,11.96
"PI655994","2013","1",1,0,0,0,0,0,16.9,3.23,4131,68.3,10.88
"PI655995","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI655996","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI655997","2013","1",1,0,0,0,0,0,15.2,2.48,4103,69.5,13.1
"PI655998","2013","1",1,0,0,0,0,0,18.7,2.59,4088,69.4,11.43
"PI655999","2013","1",1,0,0,0,0,0,17.7,3.02,4168,67.1,13.71
"PI656000","2013","1",1,0,0,0,0,0,16.7,3.24,4140,66.6,12.42
"PI656001","2013","1",1,0,0,0,0,0,12,2.79,4066,71.7,9.54
"PI656002","2013","1",1,0,0,0,0,0,15.2,2.73,4068,70.5,11.05
"PI656003","2013","1",1,0,0,0,0,0,15.5,3.84,4168,67.2,10.34
"PI656004","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI656005","2013","1",1,0,0,0,0,0,18.5,2.69,4133,67.5,13.27
"PI656006","2013","1",1,0,0,0,0,0,17.1,3.15,4072,70.9,9.29
"PI656007","2013","1",1,0,0,0,0,0,17.7,2.72,4123,68.5,12.01
"PI656008","2013","1",1,0,0,0,0,0,19.8,2.21,4068,70.2,10.73
"PI656009","2013","1",1,0,0,0,0,0,17.1,2.67,4087,68.8,12.18
"PI656010","2013","1",1,0,0,0,0,0,13.3,2.41,4045,74.6,9.35
"PI656011","2013","1",1,0,0,0,0,0,15.7,2.81,4104,69.3,12.61
"PI656012","2013","1",1,0,0,0,0,0,16.5,2.33,4079,70.8,11.81
"PI656013","2013","1",1,0,0,0,0,0,12.9,4,4175,68.3,10.6
"PI656014","2013","1",1,0,0,0,0,0,17.5,4.69,4266,64.5,13.3
"PI656015","2013","1",1,0,0,0,0,0,18.3,2.47,4107,67.4,13.6
"PI656016","2013","1",1,0,0,0,0,0,15.6,3.01,4138,68.7,12.04
"PI656017","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI656018","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI656019","2013","1",1,0,0,0,0,0,17.5,2.92,4104,70.1,10.53
"PI656020","2013","1",1,0,0,0,0,0,19,3.13,4196,66.2,15.04
"PI656021","2013","1",1,0,0,0,0,0,17.3,2.3,4123,66.3,14.78
"PI656022","2013","1",1,0,0,0,0,0,9.4,2.63,4132,67.5,14.82
"PI656023","2013","1",1,0,0,0,0,0,18.3,2.88,4100,70.3,10.17
"PI656024","2013","1",1,0,0,0,0,0,16.5,2.25,4045,70.8,11.07
"PI656025","2013","1",1,0,0,0,0,0,18.9,3.2,4132,65.7,11.35
"PI656026","2013","1",1,0,0,0,0,0,13.6,2.6,4045,72.7,9.49
"PI656027","2013","1",1,0,0,0,0,0,10.4,1.75,4013,70.7,10.66
"PI656028","2013","1",1,0,0,0,0,0,17.9,2.26,4115,68.7,13.08
"PI656029","2013","1",1,0,0,0,0,0,14.4,3.51,4126,67.6,10.23
"PI656030","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI656031","2013","1",1,0,0,0,0,0,12.1,2.11,4008,73.4,9.49
"PI656032","2013","1",1,0,0,0,0,0,15.7,3.56,4130,70.1,10.34
"PI656033","2013","1",1,0,0,0,0,0,16.3,2.47,4110,68.1,14.11
"PI656034","2013","1",1,0,0,0,0,0,14.6,2.86,4054,70.8,9.35
"PI656035","2013","1",1,0,0,0,0,0,17.9,2.38,4101,69.1,12.3
"PI656036","2013","1",1,0,0,0,0,0,15.2,2.5,4079,66.7,11.36
"PI656037","2013","1",1,0,0,0,0,0,10.1,2.31,4000,74.1,7.86
"PI656038","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI656039","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI656040","2013","1",1,0,0,0,0,0,11.5,2.17,4089,68.9,12.74
"PI656041","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI656043","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI656044","2013","1",1,0,0,0,0,0,15.4,2.41,4095,67.2,11.79
"PI656046","2013","1",1,0,0,0,0,0,16.7,3.24,4151,69.8,11.79
"PI656047","2013","1",1,0,0,0,0,0,13.1,2.4,4017,72.6,9.55
"PI656048","2013","1",1,0,0,0,0,0,20.1,2.38,4198,64.3,15.11
"PI656049","2013","1",1,0,0,0,0,0,18.1,3.11,4116,71,11.42
"PI656050","2013","1",1,0,0,0,0,0,17.9,2.24,4079,70.6,11.05
"PI656051","2013","1",1,0,0,0,0,0,14.7,2.46,4049,71.4,9.87
"PI656052","2013","1",1,0,0,0,0,0,16.4,2.08,4047,70.6,10.82
"PI656053","2013","1",1,0,0,0,0,0,16.5,2.71,4097,69.4,11.8
"PI656054","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI656055","2013","1",1,0,0,0,0,0,19.7,2.91,4144,69.9,11.43
"PI656056","2013","1",1,0,0,0,0,0,14.1,2.32,4077,71.1,9.94
"PI656057","2013","1",1,0,0,0,0,0,19.1,2.14,4063,70.6,10.66
"PI656058","2013","1",1,0,0,0,0,0,20.2,2.75,4095,70.6,11.96
"PI656059","2013","1",1,0,0,0,0,0,16.1,2.54,4038,71.6,10.08
"PI656060","2013","1",1,0,0,0,0,0,18.8,2.59,4136,67.4,13.65
"PI656061","2013","1",1,0,0,0,0,0,12.6,3.72,4213,69.6,12.9
